ERR551159,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,2,0
ERR551168,3,2,3,3,2,3,2,3,3,3,2,3,0,3,0,3,2,3,1,3,3,3,2,3
ERR551184,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,1,3,3,3,2,3
ERR551201,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,3,3,3,2,3
ERR551212,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,3,3,3,2,3
ERR551214,2,1,1,0,1,2,0,2,2,2,1,2,0,2,0,1,0,2,1,0,0,2,1,2
ERR551225,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551293,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551305,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,3,3,3,2,0
ERR551311,3,3,3,4,0,5,2,5,4,5,3,2,4,4,3,4,0,4,1,3,3,4,3,3
ERR619080,3,3,3,4,3,5,2,6,5,5,3,4,4,4,3,5,0,4,2,3,3,4,3,3
ERR551361,3,3,3,4,3,5,2,5,4,5,2,0,4,4,0,4,0,4,2,3,3,4,3,3
ERR551369,3,3,3,4,3,5,2,5,4,5,2,2,4,4,3,4,0,4,2,3,3,4,3,3
ERR551412,3,3,3,4,3,5,2,5,4,5,1,0,4,4,3,0,0,4,1,3,3,4,3,3
ERR551494,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,1,3,3,3,2,3
ERR551520,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551549,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551554,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,0,3,3,2,3
ERR551556,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,3,2,3,1,0,3,0,2,0
ERR551572,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,1,3,3,3,2,3
ERR551575,2,1,0,1,1,2,0,2,2,2,0,2,0,2,0,1,0,0,1,0,0,2,1,2
ERR551636,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3
ERR551638,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3
ERR551681,3,3,2,4,3,5,2,5,4,5,2,0,3,4,3,4,3,4,2,3,3,4,3,3
ERR551688,3,3,2,0,3,4,2,2,4,0,1,0,0,4,0,4,0,4,1,0,3,0,3,3
ERR551693,3,3,2,4,3,5,2,5,4,5,2,4,4,4,3,4,0,4,1,3,3,5,3,3
ERR551772,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
ERR551804,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,0,2,0,2,0,3,3,2,0
ERR551822,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551854,3,3,3,4,3,5,2,5,4,5,2,0,2,4,0,4,0,4,2,0,4,5,3,3
ERR551879,3,2,3,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,3,3,3,2,3
ERR551927,3,3,2,4,0,5,2,5,4,5,1,3,0,4,0,4,2,4,2,3,3,4,3,3
ERR551930,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,2,3
ERR551934,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
ERR551945,3,2,3,3,2,3,2,3,3,3,2,3,0,3,0,3,2,3,1,0,3,3,2,3
ERR551956,3,2,1,3,2,3,2,3,3,3,2,3,3,3,0,3,2,3,2,3,3,3,2,0
ERR551977,3,3,3,4,3,5,2,5,4,5,1,0,2,4,2,4,0,4,2,2,3,4,3,3
